행정동,도로명주소,지번주소,위도,경도
원서동,서울특별시 종로구 창덕궁3나길 1,서울특별시 종로구 원서동 135-58,37.5814243,126.9886208
원서동,서울특별시 종로구 창덕궁3길 20,서울특별시?종로구?원서동 77-44 조은빌라,37.5819211,126.9887613
원서동,서울특별시 종로구 창덕궁길 125,서울특별시?종로구?원서동 76-61,37.5828142,126.9888964
원서동,서울특별시 종로구 창덕궁길 139,서울특별시 종로구 원서동 76-25 성화하우스,37.5829436,126.9882266
원서동,서울특별시 종로구 창덕궁4길 40,서울특별시?종로구?원서동 76-42 부림빌라,37.5826645,126.9882531
원서동,서울특별시 종로구 창덕궁3길 38,서울특별시 종로구 원서동 76-9 이안하우스,37.5823886,126.9886531
원서동,서울특별시 종로구 창덕궁7길 5,서울특별시?종로구?원서동 4-7,37.5833354,126.9876779
가회동,서울특별시 종로구 창덕궁길 172-2,서울특별시 종로구 가회동 11-67,37.5831987,126.9864456
계동,서울특별시 종로구 북촌로8길 24,서울특별시?종로구?계동 75-10,37.5808561,126.9864547
가회동,서울특별시 종로구 북촌로8길 7,서울특별시 종로구 가회동 177-3,37.5810652,126.9856254
삼청동,서울특별시 종로구 북촌로5나길 84,서울특별시 종로구 삼청동 35-132,37.5842394,126.9827858
삼청동,서울특별시 종로구 북촌로11나길 26,서울특별시 종로구 삼청동 35-169,37.5821715,126.9822591
팔판동,서울특별시 종로구 삼청로5길 30,서울특별시 종로구 팔판동 119,37.5830549,126.9802205
창신동,서울특별시 종로구 창신6가길 12,서울특별시 종로구 창신동 130-95,37.5749626,127.0118819
창신동,서울특별시 종로구 지봉로13가길 65,서울특별시 종로구 창신동 23-410,37.5761524,127.0130096
창신동,서울특별시 종로구 창신10길 5-1,서울특별시 종로구 창신동 609 이화맨션,37.5782571,127.0093364
창신동,서울특별시 종로구 창신길 129,서울특별시 종로구 창신동 627-190,37.5770598,127.0094655
창신동,서울특별시 종로구 창신8길 3,서울특별시?종로구?창신동 596-12,37.5769669,127.0102026
창신동,서울특별시 종로구 창신7길 8,서울특별시?종로구?창신동 633-30,37.5758933,127.0100471
창신동,서울특별시 종로구 창신5길 19-5,서울특별시 종로구 창신동 131-27,37.5741487,127.0115304
창신동,서울특별시 종로구 창신5길 44,서울특별시 종로구 창신동 137,37.5744383,127.0127606
창신동,서울특별시 종로구 지봉로11길 10,서울특별시 종로구 창신동 23-49,37.5768434,127.0148345
창신동,서울특별시 종로구 창신11길 67,서울특별시 종로구 창신동 23-466,37.5771884,127.0119091
수송동,서울특별시 종로구 종로1길 36,서울특별시 종로구 수송동 146-12 종로구청,37.5735209,126.9790486
