연번,자치구명,도로(가로)명,세부 위치,설치 장소 유형,수거 쓰레기 종류,형태,위도,경도
128,종로구,삼청로,삼청로68 삼청파출소,도로(가로)변,재활용,일반 사각 쓰레기통,37.5816295,126.981367
129,종로구,삼청로,삼청로68 삼청파출소,도로(가로)변,일반쓰레기,일반 사각 쓰레기통,37.5816295,126.981367
130,종로구,삼청로,삼청로99-1 총리 공관앞,도로(가로)변,일반쓰레기,일반 사각 쓰레기통,37.5843776,126.98183
131,종로구,삼청로,삼청로99-2 총리 공관앞,도로(가로)변,재활용,일반 사각 쓰레기통,37.5843776,126.98183
132,종로구,삼청로,삼청로102,도로(가로)변,일반쓰레기,태양광 압축 쓰레기통,37.5845038,126.982283
133,종로구,삼청로,삼청로102,도로(가로)변,재활용,태양광 압축 쓰레기통,37.5845038,126.982283
136,종로구,북촌로,북촌로 8(헌법재판소 맞은편),도로(가로)변,일반쓰레기, 항아리형 쓰레기통,37.5775848,126.985941
137,종로구,북촌로,북촌로 8(헌법재판소 맞은편),도로(가로)변,재활용, 항아리형 쓰레기통,37.5775848,126.985941
138,종로구,종로,종로6가 동대문종합시장(01-021),"정류장(버스, 택시 등)",일반쓰레기,일반 사각 쓰레기통,37.5701614,127.00822
139,종로구,종로,종로6가 동대문종합시장(01-021),"정류장(버스, 택시 등)",재활용,일반 사각 쓰레기통,37.5701614,127.00822
142,종로구,창경궁로,창경궁로270 혜화동로터리,도로(가로)변,일반쓰레기,태양광 압축 쓰레기통,37.5849468,127.001054
143,종로구,창경궁로,창경궁로270 혜화동로터리,도로(가로)변,재활용,태양광 압축 쓰레기통,37.5849468,127.001054
148,종로구,종로,종로6가 동대문종합시장(01-022),"정류장(버스, 택시 등)",일반쓰레기,일반 사각 쓰레기통,37.5701614,127.00822
149,종로구,종로,종로6가 동대문종합시장(01-022),"정류장(버스, 택시 등)",일반쓰레기,일반 사각 쓰레기통,37.5701614,127.00822
165,종로구,창경궁로,창경궁로 185,도로변(횡단보도 포함),일반쓰레기, 항아리형 쓰레기통,37.5807661,126.994941
166,종로구,창경궁로,창경궁로 185,도로변(횡단보도 포함),재활용, 항아리형 쓰레기통,37.5807661,126.994941
167,종로구,창경궁로,연건동28-27,도로(가로)변,일반쓰레기, 항아리형 쓰레기통,37.5789642,126.996786
168,종로구,창경궁로,연건동28-27,도로(가로)변,재활용, 항아리형 쓰레기통,37.5789642,126.996786
