순서,도로명주소,위도,경도,수거쓰레기종류
208,필운대로6길 3(통인시장 정자앞),37.5808879,126.968823,일반쓰레기
209,필운대로6길 3(통인시장 정자앞),37.5808879,126.968823,재활용
210,새문안로 82 에스타워,37.5697169,126.973899,일반쓰레기
211,새문안로 82 에스타워,37.5697169,126.973899,재활용
212,인사동길51,37.5748274,126.983723,일반쓰레기
213,인사동길51,37.5748274,126.983723,재활용
214,율곡로46,37.5759898,126.984685,일반쓰레기
215,율곡로46,37.5759898,126.984685,재활용
216,삼일대로467,37.575981,126.985591,일반쓰레기
217,삼일대로467,37.575981,126.985591,재활용
218,종로1길55 열린마당,37.5753221,126.978867,일반쓰레기
219,종로1길55 열린마당,37.5753221,126.978867,재활용
220,세종대로175 세종문화회관,37.5722221,126.975913,일반쓰레기
221,신문로2가 103-1 삼원약국,37.570851,126.969201,일반쓰레기
222,신문로2가 103-2 삼원약국,37.570851,126.969201,재활용
223,통일로134,37.5666335,126.966305,일반쓰레기
224,통일로134,37.5666335,126.966305,재활용
225,사직동 주민센터,37.5761487,126.968836,일반쓰레기
226,사직동 주민센터,37.5761487,126.968836,재활용
227,종로2가 YBM앞,37.5699357,126.988727,일반쓰레기
228,종로160 세운상가,37.5692695,126.995214,일반쓰레기
229,종로161 세운상가,37.5692695,126.995214,재활용
230,돈화문로 89,37.5763959,126.990153,일반쓰레기
231,돈화문로 89,37.5763959,126.990153,재활용
232,운니동 98-7,37.5763687,126.988217,일반쓰레기
233,운니동 98-8,37.5763687,126.988217,재활용
234,북촌로4길 7 재동초교앞,37.5798462,126.985579,일반쓰레기
235,북촌로4길 7 재동초교앞,37.5798462,126.985579,재활용
236,북촌로51 돈미약국앞,37.5813237,126.984876,일반쓰레기
237,북촌로51 돈미약국앞,37.5813237,126.984876,재활용
238,북촌로35 가회동주민센터앞,37.5800893,126.984763,일반쓰레기
239,북촌로35 가회동주민센터앞,37.5800893,126.984763,재활용
240,북촌로5가길3 정독도서관,37.5797286,126.982171,일반쓰레기
241,북촌로5가길3 정독도서관,37.5797286,126.982171,재활용
242,율곡로3길 87,37.5794041,126.98182,일반쓰레기
243,율곡로3길 87,37.5794041,126.98182,재활용
244,삼청로68 삼청파출소,37.5816295,126.981367,일반쓰레기
245,삼청로68 삼청파출소,37.5816295,126.981367,재활용
246,삼청로68 삼청파출소,37.5816295,126.981367,일반쓰레기
247,삼청로99-1 총리 공관앞,37.5843776,126.98183,일반쓰레기
248,삼청로99-2 총리 공관앞,37.5843776,126.98183,재활용
249,삼청로102,37.5845038,126.982283,일반쓰레기
250,삼청로102,37.5845038,126.982283,재활용
251,북촌로 8(헌법재판소 맞은편),37.5775848,126.985941,일반쓰레기
252,북촌로 8(헌법재판소 맞은편),37.5775848,126.985941,재활용
253,종로6가 동대문종합시장(01-021),37.5701614,127.00822,일반쓰레기
254,종로6가 동대문종합시장(01-021),37.5701614,127.00822,재활용
255,창경궁로270 혜화동로터리,37.5849468,127.001054,일반쓰레기
256,창경궁로270 혜화동로터리,37.5849468,127.001054,재활용
257,종로6가 동대문종합시장(01-022),37.5701614,127.00822,일반쓰레기
258,종로6가 동대문종합시장(01-022),37.5701614,127.00822,일반쓰레기
259,창경궁로 185,37.5807661,126.994941,일반쓰레기
260,창경궁로 185,37.5807661,126.994941,재활용
261,연건동28-27,37.5789642,126.996786,일반쓰레기
262,연건동28-27,37.5789642,126.996786,재활용
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
